Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      347     0.00     0.00  QScopedPointer<QObjectData, QScopedPointerDeleter<QObjectData> >::operator->() const
  0.00      0.00     0.00      110     0.00     0.00  int QAtomicOps<int>::load<int>(std::atomic<int> const&)
  0.00      0.00     0.00      110     0.00     0.00  QBasicAtomicInteger<int>::load() const
  0.00      0.00     0.00      110     0.00     0.00  std::__atomic_base<int>::load(std::memory_order) const
  0.00      0.00     0.00      110     0.00     0.00  std::operator&(std::memory_order, std::__memory_order_modifier)
  0.00      0.00     0.00       74     0.00     0.00  QtPrivate::RefCount::deref()
  0.00      0.00     0.00       68     0.00     0.00  QString::~QString()
  0.00      0.00     0.00       37     0.00     0.00  qt_noop()
  0.00      0.00     0.00       34     0.00     0.00  bool QAtomicOps<int>::deref<int>(std::atomic<int>&)
  0.00      0.00     0.00       34     0.00     0.00  QBasicAtomicInteger<int>::deref()
  0.00      0.00     0.00       34     0.00     0.00  QString::QString(QStringDataPtr)
  0.00      0.00     0.00       34     0.00     0.00  QtPrivate::RefCount::isStatic() const
  0.00      0.00     0.00       34     0.00     0.00  std::__atomic_base<int>::operator--()
  0.00      0.00     0.00       20     0.00     0.00  QFlags<Qt::AlignmentFlag>::QFlags(int QFlags<Qt::AlignmentFlag>::Private::*)
  0.00      0.00     0.00       10     0.00     0.00  QString::QString(char const*)
  0.00      0.00     0.00        8     0.00     0.00  QTypedArrayData<unsigned short>::deallocate(QArrayData*)
  0.00      0.00     0.00        7     0.00     0.00  QArrayData::sharedNull()
  0.00      0.00     0.00        7     0.00     0.00  QTypedArrayData<unsigned short>::sharedNull()
  0.00      0.00     0.00        7     0.00     0.00  QFlags<Qt::WindowType>::QFlags(int QFlags<Qt::WindowType>::Private::*)
  0.00      0.00     0.00        7     0.00     0.00  QString::QString()
  0.00      0.00     0.00        7     0.00     0.00  QStaticStringData<12>::data_ptr() const
  0.00      0.00     0.00        6     0.00     0.00  QStaticStringData<10>::data_ptr() const
  0.00      0.00     0.00        4     0.00     0.00  QStaticStringData<15>::data_ptr() const
  0.00      0.00     0.00        3     0.00     0.00  QByteArray::~QByteArray()
  0.00      0.00     0.00        3     0.00     0.00  QJsonValueRef::QJsonValueRef(QJsonObject*, int)
  0.00      0.00     0.00        3     0.00     0.00  QTypedArrayData<char>::deallocate(QArrayData*)
  0.00      0.00     0.00        3     0.00     0.00  QSize::QSize(int, int)
  0.00      0.00     0.00        3     0.00     0.00  QFlags<Qt::AlignmentFlag>::QFlags(Qt::AlignmentFlag)
  0.00      0.00     0.00        3     0.00     0.00  QFlags<QIODevice::OpenModeFlag>::QFlags(QIODevice::OpenModeFlag)
  0.00      0.00     0.00        3     0.00     0.00  QWidget::resize(int, int)
  0.00      0.00     0.00        3     0.00     0.00  QJsonObject::iterator::value() const
  0.00      0.00     0.00        3     0.00     0.00  QStaticStringData<16>::data_ptr() const
  0.00      0.00     0.00        3     0.00     0.00  QStaticStringData<7>::data_ptr() const
  0.00      0.00     0.00        3     0.00     0.00  QStaticStringData<8>::data_ptr() const
  0.00      0.00     0.00        3     0.00     0.00  QString::isEmpty() const
  0.00      0.00     0.00        2     0.00     0.00  QJsonValue::QJsonValue(char const*)
  0.00      0.00     0.00        2     0.00     0.00  QRect::QRect(int, int, int, int)
  0.00      0.00     0.00        2     0.00     0.00  QString::fromUtf8(char const*, int)
  0.00      0.00     0.00        2     0.00     0.00  QString::QString(QString const&)
  0.00      0.00     0.00        2     0.00     0.00  QtPrivate::RefCount::ref()
  0.00      0.00     0.00        2     0.00     0.00  QStaticStringData<11>::data_ptr() const
  0.00      0.00     0.00        2     0.00     0.00  QStaticStringData<5>::data_ptr() const
  0.00      0.00     0.00        2     0.00     0.00  QRect::width() const
  0.00      0.00     0.00        2     0.00     0.00  QRect::height() const
  0.00      0.00     0.00        1     0.00     0.00  qInitResources_resources()
  0.00      0.00     0.00        1     0.00     0.00  qCleanupResources_resources()
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  QArrayData::data()
  0.00      0.00     0.00        1     0.00     0.00  bool QAtomicOps<int>::ref<int>(std::atomic<int>&)
